weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
399,"{'top_left': np.int64(69), 'top_right': np.int64(76), 'bottom_left': np.int64(142), 'bottom_right': np.int64(112)}","{'top_left': np.float64(0.13690476190476192), 'top_right': np.float64(0.15079365079365079), 'bottom_left': np.float64(0.28174603174603174), 'bottom_right': np.float64(0.2222222222222222)}","(np.float64(17.88972431077694), np.float64(34.56892230576441))","(np.float64(0.49693678641047057), np.float64(0.6285258601048075))","(np.float64(137.49838254784834), np.float64(101.07054603928367))","(np.float64(0.04384514749612511), np.float64(0.07382801025513781))"
564,"{'top_left': np.int64(73), 'top_right': np.int64(67), 'bottom_left': np.int64(215), 'bottom_right': np.int64(209)}","{'top_left': np.float64(0.12414965986394558), 'top_right': np.float64(0.11394557823129252), 'bottom_left': np.float64(0.3656462585034014), 'bottom_right': np.float64(0.3554421768707483)}","(np.float64(20.884751773049647), np.float64(36.780141843971634))","(np.float64(0.49725599459642017), np.float64(0.6687298517085751))","(np.float64(111.14315175292994), np.float64(154.2154412504401))","(np.float64(0.035441056043663884), np.float64(0.08340478163896166))"
413,"{'top_left': np.int64(45), 'top_right': np.int64(36), 'bottom_left': np.int64(180), 'bottom_right': np.int64(152)}","{'top_left': np.float64(0.08458646616541353), 'top_right': np.float64(0.06766917293233082), 'bottom_left': np.float64(0.3383458646616541), 'bottom_right': np.float64(0.2857142857142857)}","(np.float64(17.20096852300242), np.float64(36.70944309927361))","(np.float64(0.46489104116222757), np.float64(0.6674444199867928))","(np.float64(92.51121833392938), np.float64(127.69084651959031))","(np.float64(0.029499750744237684), np.float64(0.08842856407173844))"
434,"{'top_left': np.int64(64), 'top_right': np.int64(67), 'bottom_left': np.int64(148), 'bottom_right': np.int64(155)}","{'top_left': np.float64(0.11428571428571428), 'top_right': np.float64(0.11964285714285715), 'bottom_left': np.float64(0.2642857142857143), 'bottom_right': np.float64(0.2767857142857143)}","(np.float64(19.942396313364057), np.float64(36.5184331797235))","(np.float64(0.511343495214463), np.float64(0.6639715123586091))","(np.float64(138.0192454713415), np.float64(131.43216568625368))","(np.float64(0.044011238989585935), np.float64(0.08214510355390856))"
413,"{'top_left': np.int64(85), 'top_right': np.int64(76), 'bottom_left': np.int64(140), 'bottom_right': np.int64(112)}","{'top_left': np.float64(0.15977443609022557), 'top_right': np.float64(0.14285714285714285), 'bottom_left': np.float64(0.2631578947368421), 'bottom_right': np.float64(0.21052631578947367)}","(np.float64(17.20096852300242), np.float64(33.803874092009686))","(np.float64(0.46489104116222757), np.float64(0.6146158925819943))","(np.float64(134.6806629575128), np.float64(127.69084651959031))","(np.float64(0.04294663997369668), np.float64(0.08842856407173844))"
402,"{'top_left': np.int64(77), 'top_right': np.int64(68), 'bottom_left': np.int64(172), 'bottom_right': np.int64(85)}","{'top_left': np.float64(0.16176470588235295), 'top_right': np.float64(0.14285714285714285), 'bottom_left': np.float64(0.36134453781512604), 'bottom_right': np.float64(0.17857142857142858)}","(np.float64(14.223880597014926), np.float64(32.87810945273632))","(np.float64(0.4183494293239684), np.float64(0.5977838082315694))","(np.float64(98.2413615999604), np.float64(83.31306155788224))","(np.float64(0.03132696479590574), np.float64(0.06801066249623039))"
368,"{'top_left': np.int64(61), 'top_right': np.int64(67), 'bottom_left': np.int64(151), 'bottom_right': np.int64(89)}","{'top_left': np.float64(0.11466165413533834), 'top_right': np.float64(0.12593984962406016), 'bottom_left': np.float64(0.28383458646616544), 'bottom_right': np.float64(0.16729323308270677)}","(np.float64(16.554347826086957), np.float64(36.77717391304348))","(np.float64(0.4474148061104583), np.float64(0.6686758893280632))","(np.float64(156.89600070888469), np.float64(99.01878544423441))","(np.float64(0.05003061247094537), np.float64(0.06857256609711525))"
311,"{'top_left': np.int64(48), 'top_right': np.int64(43), 'bottom_left': np.int64(122), 'bottom_right': np.int64(98)}","{'top_left': np.float64(0.10714285714285714), 'top_right': np.float64(0.09598214285714286), 'bottom_left': np.float64(0.27232142857142855), 'bottom_right': np.float64(0.21875)}","(np.float64(15.379421221864952), np.float64(35.12540192926045))","(np.float64(0.48060691318327975), np.float64(0.638643671441099))","(np.float64(109.13218432398342), np.float64(59.93964082257214))","(np.float64(0.034799803674739616), np.float64(0.055040992490883504))"
480,"{'top_left': np.int64(56), 'top_right': np.int64(52), 'bottom_left': np.int64(188), 'bottom_right': np.int64(184)}","{'top_left': np.float64(0.1), 'top_right': np.float64(0.09285714285714286), 'bottom_left': np.float64(0.3357142857142857), 'bottom_right': np.float64(0.32857142857142857)}","(np.float64(19.21875), np.float64(36.61666666666667))","(np.float64(0.49278846153846156), np.float64(0.6657575757575758))","(np.float64(83.9738888888889), np.float64(93.6458984375))","(np.float64(0.026777388038548754), np.float64(0.0585286865234375))"
379,"{'top_left': np.int64(50), 'top_right': np.int64(47), 'bottom_left': np.int64(136), 'bottom_right': np.int64(146)}","{'top_left': np.float64(0.10504201680672269), 'top_right': np.float64(0.09873949579831932), 'bottom_left': np.float64(0.2857142857142857), 'bottom_right': np.float64(0.3067226890756303)}","(np.float64(16.989445910290236), np.float64(37.17941952506596))","(np.float64(0.4996895855967716), np.float64(0.6759894459102902))","(np.float64(121.09709623296969), np.float64(66.67535035261521))","(np.float64(0.03861514548245207), np.float64(0.054428857430706294))"
